Room,Level,Building,Colour Code,Room Name,Function,Owner | Booker,Usage Notes / Specialist notes,Capacity,Image,Movable Furniture?,House PC,BYOD Connection(s),BYOD Non-standard connections,Main Display,Secondary Display,Podium monitor,Camera,Microphone,Document Cam (Visulizer),Conference Phone,Last Upgraded,Upgrade Due,Upgrade Priority,Door Signage,Comments,Task Assigned to,Modified,Modified By
223,2,RB,Yellow,Yellow Lecture Theatre,Teaching ,,,121,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Gooseneck & lapel,WolfVision V8-light3,,,,,Correct,,,2023-07-17T10:58:25Z,l.mitchell36@rgu.ac.uk
317,3,RB,Yellow,Yellow Teaching Room,Teaching,,,57,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary & lapel,SDC-330,,,,,Correct,,,2023-07-17T10:58:26Z,l.mitchell36@rgu.ac.uk
318,3,RB,Yellow,Student Group Work Room,Specialist Activities,Library Services,unavailable (Yellow) standard signage,10,,,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam & Lapel,,,,,,Correct,,,2023-07-17T10:58:29Z,l.mitchell36@rgu.ac.uk
319,3,RB,Purple,Purple Teaching Room,Teaching,,,36,,Y,Yes,HDMI & VGA,WolfVision Core Pro,Touchscreen,,,IP,Soundbar,,,,,,Correct,,,2023-05-30T13:19:54Z,l.mitchell36@rgu.ac.uk
320,3,RB,Yellow,Yellow Teaching Room,Teaching,,,33,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,SDC-330,,,,,Correct,,,2023-07-17T10:58:30Z,l.mitchell36@rgu.ac.uk
321,3,RB,Yellow,Yellow IT Lab,IT Lab,Estates,,36,,,Yes,HDMI & VGA,,Projector,Projector,Standard monitor,IP,Lapel,SDC-330,,,,,Correct,,,2023-07-26T10:10:03Z,l.mitchell36@rgu.ac.uk
322,3,RB,Yellow,Meeting Room,Specialist Activities,Student Union,Project room (Yellow) standard signage,8,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam & Lapel,,,,,,Correct,,,2023-07-17T10:58:31Z,l.mitchell36@rgu.ac.uk
323,3,RB,Yellow,Meeting Room,Specialist Activities,Student Union,Project room (Yellow) standard signage,8,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam & Lapel,,,,,,Correct,,,2023-07-17T10:58:32Z,l.mitchell36@rgu.ac.uk
325,3,RB,Yellow,Meeting Room,Specialist Activities,ABS,Podcast / Meeting (Yellow) standard signage,3,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam & boundary,,Cisco 7937,,,,Correct,,,2023-07-17T10:58:33Z,l.mitchell36@rgu.ac.uk
326,3,RB,Yellow,Meeting Room,Specialist Activities,ABS,Podcast / Meeting (Yellow) standard signage,5,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam & boundary,,Cisco 7937,,,,Correct,,,2023-07-17T10:58:34Z,l.mitchell36@rgu.ac.uk
327,3,RB,White,Meeting Room,Meeting,ABS,,2,,Y,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:19:55Z,l.mitchell36@rgu.ac.uk
331,3,RB,White,Meeting Room,Meeting,ABS,,2,,Y,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:19:55Z,l.mitchell36@rgu.ac.uk
332,3,RB,White,Meeting Room,Meeting,ABS,,2,,Y,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:19:59Z,l.mitchell36@rgu.ac.uk
404,4,RB,Yellow,Yellow Teaching Room,Teaching,,,20,,Y,Yes,,,,,Standard monitor,IP,,,,,,,Correct,,,2023-07-17T10:58:35Z,l.mitchell36@rgu.ac.uk
415,4,RB,Yellow,Yellow Teaching Room,Teaching,,,40,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,SDC-450,,,,,Correct,,,2023-07-17T10:58:37Z,l.mitchell36@rgu.ac.uk
425,4,RB,Blue,Blue Teaching Room,Teaching,,,60,,Y,Yes,HDMI & VGA,,Projector,,Touchscreen monitor (podium),WebCam,WebCam,SDC-450,,,,,Correct,,,2023-07-17T10:57:15Z,l.mitchell36@rgu.ac.uk
426,4,RB,Blue,Blue Teaching Room,Teaching,,,24,,Y,Yes,HDMI & VGA,,Projector,,Touchscreen monitor (podium),IP,Boundary,,,7/17/2023,Summer 2023,Upgraded,Ready for new signage,Upgraded to Blue,r.pearce@rgu.ac.uk,2023-07-17T10:56:39Z,l.mitchell36@rgu.ac.uk
428,4,RB,Blue,Blue Teaching Room,Teaching,,,20,,Y,Yes,HDMI & VGA,,Projector,,Touchscreen monitor (podium),IP,Boundary,SDC-330,,7/17/2023,Summer 2023,Upgraded,Ready for new signage,Upgraded to Blue,r.pearce@rgu.ac.uk,2023-07-17T10:56:39Z,l.mitchell36@rgu.ac.uk
522,5,RB,Yellow,Yellow Teaching Room,Teaching,,,60,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,WebCam,WebCam,SDC-450,,,,,Correct,,,2023-07-17T10:58:37Z,l.mitchell36@rgu.ac.uk
620,6,RB,Yellow,Meeting Room,Meeting,,(Yellow Room) standard signage,28,,Y,Yes,VGA,,Screen,,Standard monitor,Webcam,,,,,,,Correct,,,2023-07-17T10:58:38Z,l.mitchell36@rgu.ac.uk
232a,2,RB,Specialist,Moot Court,Specialist Activities,LAW,"Comprises 232a (Yellow Room), 232b ",20,,,Yes,VGA,,Projector,,,Not Required,,,,,,,Correct,,,2023-05-30T13:19:59Z,l.mitchell36@rgu.ac.uk
412,4,RB,,,Social,,,,,,,,,,,,,,,,,,,,,,,
413,4,RB,Purple,Meeting Room,Meeting,SU,,,,,Yes,,,,,,,,,,,,,Correct,,,2023-05-30T13:19:59Z,l.mitchell36@rgu.ac.uk
413a,4,RB,Yellow,Boardroom,Meeting,SU,,10,,,Yes,,,,,Standard monitor,,,,,,,,Correct,,,2023-07-17T10:58:38Z,l.mitchell36@rgu.ac.uk
417/418,4,RB,Yellow,Yellow IT Lab,IT Lab (School),CCB,MAC Lab,36,,,Mac,HDMI & VGA,,Projector,Projector,Standard monitor,Camera built into MAC,,,,,,,Correct,,,2023-07-17T10:58:40Z,l.mitchell36@rgu.ac.uk
G201,2,CSB,White,Meeting Room,Meeting,,,4,,Y,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:20:00Z,l.mitchell36@rgu.ac.uk
G202,2,CSB,Yellow,Meeting Room,Meeting,,(Yellow Room) standard signage,12,,,Yes,,,,,Standard monitor,Webcam,Webcam,,,,,,Correct,,,2023-07-17T10:58:41Z,l.mitchell36@rgu.ac.uk
G302,3,CSB,Yellow,Meeting Room,Meeting,,(Yellow Room) standard signage,11,,,Yes,,,,,Standard monitor,Webcam,Webcam,,,,,,Correct,,,2023-07-17T10:58:42Z,l.mitchell36@rgu.ac.uk
H103,1,IGB,Specialist,X-Ray Room,Specialist Activities,SHS,(Yellow Room),7,,,Yes,,,,,,,,,,,,,Correct,,,2023-05-30T13:20:05Z,l.mitchell36@rgu.ac.uk
H105,1,IGB,Specialist,Practical Training Room,Specialist Activities,SHS,(Yellow Room),20,,,Yes,HDMI,VIA Go,Screen,Screen x4,,Not Required,,,,,,,Correct,,,2023-05-30T13:20:05Z,l.mitchell36@rgu.ac.uk
H106,1,IGB,Specialist,Practical Training Room,Specialist Activities,SHS,,20,,,Yes,HDMI,VIA Go,Screen,Screen x4,,Not Required,,,,,,,Correct,,,2023-05-30T13:20:05Z,l.mitchell36@rgu.ac.uk
H107,1,IGB,Specialist,Retail Evaluation Unit,Specialist Activities,SHS,,3,,,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:20:05Z,l.mitchell36@rgu.ac.uk
H108,1,IGB,Specialist,Activities Room,Specialist Activities,SHS,,20,,,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:20:06Z,l.mitchell36@rgu.ac.uk
H109,1,IGB,Specialist,Human Performance Lab,Specialist Activities,SHS,,24,,,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:20:06Z,l.mitchell36@rgu.ac.uk
H123,1,IGB,Specialist,Exercise Room,Specialist Activities,SHS,(Yellow Room),91,,,Yes,HDMI,,Projector,,,Not Required,,,,,,,Correct,,,2023-05-30T13:20:06Z,l.mitchell36@rgu.ac.uk
H123/1,1,IGB,Specialist,FCE Lab,Specialist Activities,SHS,,2,,,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:20:10Z,l.mitchell36@rgu.ac.uk
H207,2,IGB,Specialist,Multi-Purpose Room,Specialist Activities,Clinical Skills,(Yellow),30,,,Yes,HDMI,VIA Go,Screen,Screen x5,,SMOTS,,,,,,,Correct,,,2023-05-30T13:20:10Z,l.mitchell36@rgu.ac.uk
H208,2,IGB,Specialist,High Fidelity Room,Specialist Activities,Clinical Skills,(Yellow),12,,,Yes,HDMI,VIA Go,Screen,,,Not Required,,,,,,,Correct,,,2023-05-30T13:20:10Z,l.mitchell36@rgu.ac.uk
H210,2,IGB,Specialist,High Fidelity Room,Specialist Activities,Clinical Skills,(Yellow),8,,,Yes,HDMI,VIA Go,Screen,,,Not Required,,,,,,,Correct,,,2023-05-30T13:20:10Z,l.mitchell36@rgu.ac.uk
H214,2,IGB,Specialist,Children's Ward,Specialist Activities,Clinical Skills,Children's Single Bedded Ward,8,,,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:20:10Z,l.mitchell36@rgu.ac.uk
H217,2,IGB,Specialist,Ward,Specialist Activities,Clinical Skills,6 - Bedded ward (Yellow),18,,,Yes,HDMI,VIA Go,Screen,Screen,,SMOTS,,,,,,,Correct,,,2023-05-30T13:20:11Z,l.mitchell36@rgu.ac.uk
H218,2,IGB,Specialist,Intensive Care / Sim Man Unit,Specialist Activities,Clinical Skills,(Yellow),8,,,Yes,HDMI,VIA Go,Screen,Screen,,SMOTS,,,,,,,Correct,,,2023-05-30T13:20:11Z,l.mitchell36@rgu.ac.uk
H219,2,IGB,Specialist,Ward,Specialist Activities,Clinical Skills,6 - Bedded ward (Yellow),18,,,Yes,HDMI,VIA Go,Screen,,,SMOTS,,,,,,,Correct,,,2023-05-30T13:20:11Z,l.mitchell36@rgu.ac.uk
H219/1,2,IGB,Specialist,SMOT Control Room,Specialist Activities,Clinical Skills,(Yellow Room),,,,Yes,HDMI,,Screen,,,SMOTS,,,,,,,Correct,,,2023-06-07T08:25:08Z,l.mitchell36@rgu.ac.uk
H220,2,IGB,Specialist,Home Setting Room,Specialist Activities,Clinical Skills,,15,,,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:20:11Z,l.mitchell36@rgu.ac.uk
H223,2,IGB,Yellow,Yellow Lecture Theatre,Teaching ,,,192,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Lapel,SDC-330,,,,,Correct,,,2023-07-17T10:58:43Z,l.mitchell36@rgu.ac.uk
H230,2,IGB,Yellow,Conference Suite,Meeting,,(Yellow Room) standard signage,30,,Y,Yes,HDMI,,Projector,,Standard monitor,Webcam,,,Cisco 7937,,,,Correct,,,2023-07-17T10:58:43Z,l.mitchell36@rgu.ac.uk
H232,2,IGB,Yellow,Meeting Room,Meeting,,(Yellow Room) standard signage,18,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,WebCam,WebCam,,Cisco 7937,,,,Correct,,,2023-07-17T10:58:44Z,l.mitchell36@rgu.ac.uk
H234,2,IGB,Yellow,Yellow Lecture Theatre,Teaching ,,,154,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary & lapel,SDC-330,,,Summer 2023,High,Updating,Upgrade to Blue,r.pearce@rgu.ac.uk,2023-07-17T10:58:45Z,l.mitchell36@rgu.ac.uk
H301,3,IGB,Yellow,Yellow Teaching Room,Teaching,,,28,,Y,Yes,HDMI,,Screen,,Standard monitor,Logitech,Logitech,,,,,,Correct,,,2023-07-17T10:58:46Z,l.mitchell36@rgu.ac.uk
H303,3,IGB,Yellow,Meeting Room,Meeting,,,,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Lapel,SDC-330,Cisco 7937,,,,Correct,1 screen 1 projector,,2023-07-17T10:58:47Z,l.mitchell36@rgu.ac.uk
H304,3,IGB,Yellow,Yellow Teaching Room,Teaching,,,70,,Y,Yes,HDMI & VGA,,Projector,Interactive monitor,Standard monitor,IP,Boundary,SDC-450,,,,,Correct,,,2023-07-17T10:58:48Z,l.mitchell36@rgu.ac.uk
H401,4,IGB,Yellow,Yellow IT Lab,IT Lab,,Open access,84,,,Yes,,,,,Standard monitor,,,,,,,,Correct,,,2023-07-17T10:58:48Z,l.mitchell36@rgu.ac.uk
H402,4,IGB,Purple,Purple IT Lab,IT Lab,,PC Lab,20,,,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:20:16Z,l.mitchell36@rgu.ac.uk
H403/ H404,4,IGB,Yellow,Yellow IT Lab,IT Lab,,PC Lab,40,,,Yes,HDMI & VGA,,Projector,Interactive monitor,Standard monitor,IP,Boundary,SDC-450,,,,,Correct,,,2023-07-17T10:58:49Z,l.mitchell36@rgu.ac.uk
H405,4,IGB,Yellow,Yellow Teaching Room,Teaching,,,78,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,SDC-450,,,,,Correct,1 screen 1 projector,,2023-07-17T10:58:50Z,l.mitchell36@rgu.ac.uk
H407,4,IGB,Purple,Purple Teaching Room,Teaching,,,35,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:20:16Z,l.mitchell36@rgu.ac.uk
H408,4,IGB,Yellow,Yellow Teaching Room,Teaching,,,37,,Y,Yes,HDMI,,Projector,,Standard monitor,WebCam,WebCam,,,,,,Correct,,,2023-07-17T10:58:52Z,l.mitchell36@rgu.ac.uk
H414/4,4,IGB,Yellow,Meeting Room,Meeting (School),SHS,standard signage (colour unknown),10,,,N/A,,,,,Standard monitor,,,,,,,,Correct,,,2023-07-17T10:58:52Z,l.mitchell36@rgu.ac.uk
H502,5,IGB,Yellow,Yellow Teaching Room,Teaching,,,50,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary & lapel,,,,,,Correct,2 screen 2 projectors,,2023-07-17T10:58:53Z,l.mitchell36@rgu.ac.uk
H503,5,IGB,Purple,Purple Teaching Room,Teaching,,,35,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:20:20Z,l.mitchell36@rgu.ac.uk
H504,5,IGB,Purple,Purple Teaching Room,Teaching,,,39,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:20:20Z,l.mitchell36@rgu.ac.uk
H505,5,IGB,Yellow,Yellow Teaching Room,Teaching,,,54,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,,,,,,Correct,1 screen 1 projector,,2023-07-17T10:58:53Z,l.mitchell36@rgu.ac.uk
H506,5,IGB,Yellow,Yellow Teaching Room,Teaching,,,76,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,SDC-450,,,,,Correct,,,2023-07-17T10:58:55Z,l.mitchell36@rgu.ac.uk
H507,5,IGB,Purple,Purple Teaching Room,Teaching,,,27,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:20:23Z,l.mitchell36@rgu.ac.uk
H508,5,IGB,Purple,Purple Teaching Room,Teaching,,,39,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:20:23Z,l.mitchell36@rgu.ac.uk
H523,5,IGB,Yellow,Meeting Room,Meeting (School),SNMP,(Yellow Room) standard signage,8,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam,,,,,,Correct,,,2023-07-17T10:58:56Z,l.mitchell36@rgu.ac.uk
H524,5,IGB,Yellow,Meeting Room,Meeting (School),SNMP,(Yellow Room) standard signage,8,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam,,,,,,Correct,,,2023-07-17T10:58:58Z,l.mitchell36@rgu.ac.uk
H602,6,IGB,Yellow,Yellow Teaching Room,Teaching,,,51,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Lapel,SDC-450,,,,,Correct,,,2023-07-17T10:58:58Z,l.mitchell36@rgu.ac.uk
H603,6,IGB,Yellow,Yellow Teaching Room,Teaching,,,31,,Y,Yes,HDMI,,Projector,,Standard monitor,WebCam,WebCam,,,,,,Correct,,,2023-07-17T10:58:59Z,l.mitchell36@rgu.ac.uk
H604,6,IGB,Yellow,Yellow Teaching Room,Teaching,,,39,,Y,Yes,HDMI,,Projector,,Standard monitor,WebCam,WebCam,,,,,,Correct,,,2023-07-17T10:59:00Z,l.mitchell36@rgu.ac.uk
H605,6,IGB,Yellow,Yellow Teaching Room,Teaching,,,55,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Lapel,SDC-450,,,,,Correct,,,2023-07-17T10:59:01Z,l.mitchell36@rgu.ac.uk
H606,6,IGB,Yellow,Yellow Teaching Room,Teaching,,,39,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,SDC-450,,,,,Correct,,,2023-07-17T10:59:02Z,l.mitchell36@rgu.ac.uk
H607,6,IGB,Purple,Purple Teaching Room,Teaching,,,39,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:20:27Z,l.mitchell36@rgu.ac.uk
H608,6,IGB,Purple,Purple Teaching Room,Teaching,,,39,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:20:27Z,l.mitchell36@rgu.ac.uk
H609,6,IGB,Yellow,Yellow Teaching Room,Teaching,,,27,,Y,Yes,HDMI,,Projector,,Standard monitor,WebCam,WebCam,,,,,,Correct,,,2023-07-17T10:59:04Z,l.mitchell36@rgu.ac.uk
H621,6,IGB,Green,Meeting Room,Meeting (School),SASS,(Green Room) standard signage. ADD TO CELCAT,4,,,BYOD,HDMI,,Screen,,,USB - conference,USB - conference,,,,,,Correct,,,2023-06-06T14:54:52Z,l.mitchell36@rgu.ac.uk
H623,6,IGB,Green,Meeting Room,Meeting (School),SASS,(Green Room) standard signage. ADD TO CELCAT,4,,,BYOD,HDMI,,Screen,,,USB - conference,USB - conference,,,,,,Correct,,,2023-06-06T14:54:53Z,l.mitchell36@rgu.ac.uk
H624,6,IGB,Green,Meeting Room,Meeting (School),SASS,(Green Room) standard signage. ADD TO CELCAT,4,,,BYOD,HDMI,,Screen,,,USB - conference,USB - conference,,,,,,Correct,,,2023-06-06T14:54:54Z,l.mitchell36@rgu.ac.uk
H625,6,IGB,Green,Meeting Room,Meeting (School),SASS,,5,,,BYOD,HDMI,,Screen,,,USB - conference,USB - conference,,,,,,Correct,,,2023-06-06T14:54:55Z,l.mitchell36@rgu.ac.uk
H626,6,IGB,Green,Meeting Room,Meeting (School),SASS,(Green Room) standard signage. ADD TO CELCAT,4,,,BYOD,HDMI,,Screen,,,USB - conference,USB - conference,,,,,,Correct,,,2023-06-06T14:55:01Z,l.mitchell36@rgu.ac.uk
H628,6,IGB,Specialist,Psychology Lab,Specialist Activities,SASS,"(Purple Room) 20 PCS, 12 Meeting table",32,,,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-06-06T14:55:02Z,l.mitchell36@rgu.ac.uk
H629,6,IGB,Yellow,Yellow Teaching Room,Teaching,,,54,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,SDC-450,,,,,Correct,,,2023-07-17T10:59:04Z,l.mitchell36@rgu.ac.uk
IC118a,1,ICRGU,Blue,Blue Teaching Room,Teaching (School),ICRGU,ICRGU branding,12,,Y,Yes,HDMI & VGA,,Projector,,Touchscreen monitor (podium),WebCam,WebCam,SDC-330,,,,,Correct,,,2023-07-17T10:57:18Z,l.mitchell36@rgu.ac.uk
IC118b,1,ICRGU,Purple,Purple Teaching Room,Teaching (School),ICRGU,ICRGU branding,20,,Y,Yes,HDMI & VGA,,Projector,,,WebCam,WebCam,,,,,,Correct,,,2023-05-30T13:20:29Z,l.mitchell36@rgu.ac.uk
IC120a,1,ICRGU,Blue,Blue Teaching Room,Teaching (School),ICRGU,ICRGU branding,16,,Y,Yes,HDMI & VGA,,Projector,,Touchscreen monitor (podium),WebCam,WebCam,,,,,,Correct,,,2023-07-17T10:57:18Z,l.mitchell36@rgu.ac.uk
IC120b,1,ICRGU,Purple,Purple Teaching Room,Teaching (School),ICRGU,ICRGU branding,16,,Y,Yes,HDMI & VGA,,Projector,,,WebCam,WebCam,,,,,,Correct,,,2023-05-30T13:20:35Z,l.mitchell36@rgu.ac.uk
IC121,1,ICRGU,Blue,Blue IT Lab,IT Lab (School),ICRGU,ICRGU branding,30,,,Yes,HDMI & VGA,,Projector,,Touchscreen monitor (podium),WebCam,WebCam,,,,,,,,,2023-07-17T10:57:19Z,l.mitchell36@rgu.ac.uk
IC123,1,ICRGU,Blue,Blue Teaching Room,Teaching (School),ICRGU,ICRGU branding,,,,Yes,HDMI & VGA,,Projector,,Touchscreen monitor (podium),WebCam,WebCam,,,,,,,,,2023-07-17T10:57:21Z,l.mitchell36@rgu.ac.uk
IC124,1,ICRGU,Blue,Blue Teaching Room,Teaching (School),ICRGU,ICRGU branding,35,,Y,Yes,HDMI & VGA,,Projector,,Touchscreen monitor (podium),WebCam,WebCam,,,,,,,,,2023-07-17T10:57:23Z,l.mitchell36@rgu.ac.uk
IC215,2,ICRGU,Yellow,DELTA Office,Staff Office,DELTA,,14,,Y,Yes,HDMI & VGA,,Projector,Screen,Standard monitor,IP,Boundary,SDC-450,,,,,,Requires new signage - Staff offices,,2023-07-17T10:59:05Z,l.mitchell36@rgu.ac.uk
